"Dam Name","State","Downstream Hazard Potential","Incident Type","Incident Date","Incident Driver","Incident Mechanism 1","Incident Mechanism 2","Incident Mechanism 3","Incident ID","Incident Description","Named Hydrologic Event","EAP Enacted (Y/N) due to Incident","Fatalities (Number)","Number of People Evacuated","Number of Habitable Structures Evacuated","Number of Habitable Structures Flooded","Other Infrastructure Impacts","Economic Damages (in $)","Response","Volume released at failure (ac-ft)","Additional Remarks or Updates","Owner Type","Dam Type","Primary Purpose(s)","EAP","Dam Height","Max Storage (ac-ft)","Surface Area (acres)","Year Completed","NID Number","River Name","Latitude","Longitude","Year Modified","Regulatory Agency(ies)","Incident Time","Incident Duration","Incident Report Produced","Information Sources","Attachments"
"BELMEAR LAKE","CO","S","Non-failure","05/01/2017","Deterioration Or Poor Condition","Piping","Sinkhole","","CO02059-3168","5-foot diamter sinkhole over outlet works. Owner responded and used a siphon to drain the reservoir before it progressed to failure","","No","","","","","","","","","Reservoir was given zero storage restriction.  The outlet works were rehabilitated and reservoir has returned to full storage February 2019.","P","RE","IP","Y","30 ft","647 ac-ft","30 acres","1912","CO02059","DISAPPOINTMENT CREEK-TR","37.8136","-108.353","0","DWR","","","No","CO DWR",""
"BELVEDERE LAKE DAM","NY","S","Non-failure","08/28/2011","Hydrologic/flooding","Overtopping","","","NY01270-1283","Report that water was flowing over 4 feet over the dam. Hurricane Irene.","Irene","No","","","","","","","","","","P","OTRE","R","N","20 ft","210 ac-ft","26 acres","1900","NY01270","TR-CHERRY VALLEY CREEK","42.745","-74.7603","0","NYS DEC","","","","",""
"BENNETTS BRIDGE RD. DAM","NC","H","Failure","10/08/2016","Hydrologic/flooding","Overtopping","","","NC05977-2978","small dam breach on left side in a controlled fashion, did not cause damage to road","Matthew","No","","","","","","$500,000 to $1 million","","","","X","RE","F","N","5 ft","0 ac-ft","0 acres","0","NC05977","","35.0773","-77.9099","0","NCDENR","","1 day","","NCDEQ",""
"BIDDLE LAKE DAM","MS","L","Non-failure","02/28/2020","Hydrologic/flooding","Overtopping","Insufficient Spillway Capacity","","MS04513-3479","1 of 3 culverts blocked.  The loss of capacity lead to overtopping of the dam, eroding backslope.","","Y","0","0","0","0","0","0","Collum contacted the Tombigbee River Valley Water Management District about repairs as they had previously repaired the structure.","","","P","RE","R","N","17 ft","98 ac-ft","7 acres","0","MS04513","","34.1555","-88.4259","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","","Y","MDEQ Dam Safety",""
"BIG BONE LICK STATE PARK DAM","KY","L","Non-failure","06/17/2018","Seepage/internal Erosion","Piping","","","KY00307-3275","Dam experienced a piping incident on the downstream slope with large sinkhole formation. Drawdown only partially functional. Suspect failed low level conduit.","","","0","0","0","0","","","","","","S","RE","R","Y","70 ft","218 ac-ft","9 acres","1971","KY00307","BIG BONE CREEK","38.8845","-84.7429","0","KY DIVISION OF WATER","","","Yes","KY DNR",""
"BIG CREEK DAM","TX","H","Non-failure","12/27/2015","Hydrologic/flooding","Erosion","","","TX06314-2928","SEVERE UPSTREAM SLOPE SLIDE","","","","","","","","","","","","L","RE","S","N","38 ft","6625 ac-ft","15 acres","1987","TX06314","BIG CREEK","33.3924","-95.6941","2001","TCEQ","","","","",""
"BIG ELK LAKE","PA","S","Non-failure","06/26/2006","Hydrologic/flooding","Overtopping","Erosion","","PA00056-3204","OVERTOPPING OF DAM DURING EXTREME RAINFALL CAUSED ""SCOUR OR SINKHOLE"" IN TOP OF DAM","","Yes","0","15","6","0","","","AN EMERGENCY PERMIT WAS ISSUED TO REPAIR THE DAM.","","EAP INDICATES 15 PEOPLE AT RISK FROM FAILURE.  EAP WAS IMPLEMENTED WITH EVACULATIONS.","P","MSREST","RS","Y","12 ft","740 ac-ft","79 acres","1860","PA00056","ELK LAKE STREAM","41.7528","-75.9547","2006","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","3 DAYS","","PA Dam Safety",""
"BIG ELK LAKE","PA","S","Non-failure","03/28/2011","Seepage/internal Erosion","Excessive/increased Seepage","","","PA00056-3205","PA DAM SAFETY INFORMED OF CLEAR SEEPAGE EXITING ON LEFT SIDE OF A SPILLWAY.","","No","0","0","0","","","","DEPRESSION AREA ISOLATED BY COFFER DAM AND BACKFILLED WITH CONCRETE AS A TEMPORARY REPAIR.","","""NOT AN IMMINENT EMERGENCY SITUATION""","P","MSREST","RS","Y","12 ft","740 ac-ft","79 acres","1860","PA00056","ELK LAKE STREAM","41.7528","-75.9547","2006","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","2 DAYS","","PA Dam Safety",""
"BIG ELK LAKE","PA","S","Non-failure","09/08/2011","Hydrologic/flooding","High Reservoir Level","","","PA00056-3223","EAP EVACUATIONS.  OWNER PUT SANDBAGS, TWO LAYERS, ACROSS TOP OF DAM.  WATER ROSE ABOVE FIRST LAYER.","TS Lee","Yes","0","15","6","0","","None","A DETAILED BREACH ANALYSIS IN 2016 USING LIDAR SHOWED DOWNSTREAM HOMES ARE NOT IMPACTED BY A DAM FAILURE.","","OVERTOPPING PREVENTED BY SANDBAGS.  BY 4:30 PM, 9/8/11 WATER HAD RECEDED TO 6 INCH BELOW TOP OF DAM.","P","MSREST","RS","Y","12 ft","740 ac-ft","79 acres","1860","PA00056","ELK LAKE STREAM","41.7528","-75.9547","2006","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","1 DAY","","PA Dam Safety",""
"BIG LAKE DAM","TX","S","Non-failure","09/27/1996","Hydrologic/flooding","Overtopping","","","TX03753-2744","OVERTOPPING","","","","","","","","","","","","P","RE","ISR","Y","21 ft","357 ac-ft","22 acres","1949","TX03753","TR-MAGNUS BRANCH","30.6938","-94.423","1997","TCEQ","","","","TX DEQ",""
"BIG MILLPOND DAM","MD","L","Failure","09/30/2016","Hydrologic/flooding","Unknown","","","MD00080-3080","Dam failed after heavy rainfall event. No details known about failure mechanism.","","No","","","","","","","","","","L","RE","RFP","NR","9 ft","72 ac-ft","60 acres","1900","MD00080","LITTLE MILL RUN","38.0156","-75.4561","0","MD DAM SAFETY","","","","MDE Dam Safety Program",""
"BILBRO LAKE DAM","MS","L","Non-failure","02/10/2020","Hydrologic/flooding","Overtopping","","","MS02021-3468","Overtopped from insufficient spillway capacity; cut aux spillway to the northwest side of the dam.","","N","0","0","0","0","0","0","Owner had contractor cut a new spillway over natural ground to help drain and prevent failure.","","","P","RE","R","NR","12 ft","120 ac-ft","0 acres","1955","MS02021","TR- PELLAPHALIA CREEK","32.758","-89.5672","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","","Y","MDEQ Dam Safety",""
"BILLS RANCH LAKE","CO","S","Non-failure","07/03/2011","Hydrologic/flooding","Overtopping","Animal Activity","","CO00000-1365","Runoff from high snowpack and spillway blockage resulted in overtopping of the dam - rodent damage in the crest","","No","","0","","0","None","","","","3 day event - Minor flood damage to streets downstream due to runoff No evacuations. Several homes were put on notice to be prepared to evacuate by the Town of Frisco Town of Frisco and Summit County LEM contacted. Owner instructed to place sandbags and plastic sheets to alleviate overtopping damage and monitor daily through incident. Owner removed flashboards and removed obstructions.  Sandbags and plastic did help alleviate overtopping","","RE","R","","8 ft","0 ac-ft","0 acres","1930","CO00000","MINERS","40","106","0","CO Division of Water Resources","","","","",""
"BISHOP CREEK DAM","NV","H","Non-failure","08/31/2021","Seismic","Other","Debris Clogging","","NV00050-3435","Magnitude 4.7 earthquake approximately ## miles to the south shook most the upstream concrete face off of the dam and collapsed the outlet control structure. Debris from damage is blocking the approach to the outlet.","","No","","","","","","","State employees made a site visit the following day (9/1) to investigate dam.","","Reservoir has been under state order to remain drained since near failure due to large seeps and downstream slope failure in 1984.","P","CNRE","CIR","Y","80 ft","28250 ac-ft","930 acres","1912","NV00050","BISHOP CREEK","41.2556","-114.913","0","NEVADA DWR","11:21","","No","",""
"BLACK CREST FARM POND DAM","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC01442-3044","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","PR","N","20 ft","165 ac-ft","10 acres","1970","SC01442","","33.8417","-80.3283","0","SCDHEC","","","","SC DHEC",""
"BLACKBURN LAKE DAM","TX","L","Non-failure","01/01/1993","Unknown","Spillway Deficiency","","","TX00970-2764","SPWY FAILURE","","","","","","","","","","","","P","RE","R","NR","18 ft","137 ac-ft","12 acres","1950","TX00970","CONNER SPRING BRANCH","31.3741","-94.8517","0","TCEQ","","","","TX DEQ",""
"BLACKWELL POND DAM","SC","L","Failure","10/08/2016","Hydrologic/flooding","Unknown","","","SC01982-2999","Hurricane Matthew","Matthew","No","0","0","0","0","","","","","","P","RE","R","N","16 ft","74 ac-ft","9 acres","1960","SC01982","TR-MEADOW POND BRANCH","34.045","-79.8183","0","SCDHEC","","1 Day","No","SC DHEC",""
"BLAIRS POND DAM","DE","H","Non-failure","08/28/2011","Hydrologic/flooding","Erosion","","","DE00070-1205","Prolonged discharge at a higher than normal rate through a concrete overflow spillway exacerbated erosion of a known void in the soil beneath the spillway.","Irene","No","","0","","0","","None","","0 ac-ft","Void was discovered under the left downstream edge of the spillway during an inspection in August 2011, and had not been repaired prior to Irene.  The immediate post-Irene inspection did not reveal any change in the size of the void, but 11 days after the storm a sinkhole developed near the left upstream corner of the spillway.  The remaining flashboards were removed from the spillway to lower the pond level below the spillway elevation and the void was filled with concrete on 9/9/2011. Subsequent repairs will be made to seal open construction joints and cracks in the spillway slab, which are thought to be the source of leakage through the slab that caused the void to develop.","S","REPG","RF","N","14 ft","611 ac-ft","48 acres","0","DE00070","BEAVERDAM BRANCH","38.904","-75.4848","0","DNREC","","","","",""
"BLANCHARD POND DAM","MI","L","Non-failure","10/07/2013","Deterioration Or Poor Condition","Gate/valve Failure","","","MI00118-1760","Broken board on the outlet structure and impoundment drawn down.","","No","","0","","0","None","","","","","P","RE","R","NR","12 ft","300 ac-ft","13 acres","1978","MI00118","NORTH BRANCH PINE RIVER","43.525","-85.075","0","Michigan DEQ","","","","",""
"Blanche Street Pond Dam","MS","","Failure","02/10/2020","Seepage/internal Erosion","Piping","","","MS00000-3488","Dam next to Town Creek;  water backflowing from the creek into the pond through a piping failure.","","N","0","0","0","0","0","0","Worked with EMA and responders to plug the piping failure until permanent repairs could be made.","","","P","RE","","","0 ft","0 ac-ft","0 acres","0","MS00000","","0","0","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","1 day","Y","MDEQ Dam Safety",""
"BLAND LAKE DAM","TX","L","Non-failure","03/30/2008","Hydrologic/flooding","Overtopping","","","TX03968-2719","OVERTOPPING, DID NOT BREACH","","","","","","","","","","","","P","RE","R","NR","12 ft","150 ac-ft","29 acres","1890","TX03968","AYISH BAYOU","31.5889","-94.1114","0","TCEQ","","","","TX DEQ",""
"BLENHEIM - GILBOA LOWER","NY","H","Non-failure","08/28/2011","Hydrologic/flooding","High Reservoir Level","","","NY00692-1288","Record high water levels.  Hurricane Irene.","Irene","Yes","","","","","","","","","","S","RECNPG","HR","Y","165 ft","16330 ac-ft","430 acres","1974","NY00692","SCHOHARIE CREEK","42.4538","-74.4555","0","NYS DEC","","","","",""
"BLENHEIM - GILBOA UPPER","NY","H","Non-failure","08/28/2011","Hydrologic/flooding","High Reservoir Level","","","NY00691-1289","Record high water behind dam.  Hurricane Irene.","Irene","Yes","","","","","","","","","","S","RE","HR","Y","170 ft","18500 ac-ft","355 acres","1974","NY00691","SCHOHARIE CREEK","42.4451","-74.4384","0","NYS DEC","","","","",""
"BLOOMFIELD DAM","NE","H","Failure","05/19/2016","Unknown","Spillway Erosion/head Cutting","","","NE09728-3035","Headcut developed in vegetated earthen spillway.  Headcut advanced until it reached the reservoir and breached the dam.","","No","0","6","2","0","Railroads","","","18 ac-ft","Damages limited to the dam itself. Railroad and State Highway closed during incident.","","RE","","","33 ft","0 ac-ft","0 acres","1960","NE09728","TRIB. TO ELK CREEK","42.4599","-96.7315","0","NDNR","5:00 pm","20 hours","No","NeDNR",""
"BONASA BREAKS RANCH DAM","WA","S","Failure","04/13/2017","Hydrologic/flooding","Insufficient Spillway Capacity","Overtopping","","WA00000-3156","An unpermitted dam impounding 36 acre-feet of water suddenly breached, releasing about 29 acre-feet of water. The resulting flood caused extensive damage to public infrastructure, private property, and critical stream habitat. No lives were lost.","","No","0","0","0","1","Roads, Bridges","$10 million to $25 million","","29 ac-ft","Owner cost for penalties, dam stabilization and downstream repairs added up to about $3M.","P","RE","R","N","19 ft","36 ac-ft","4 acres","1960","WA00000","RATTLESNAKE CREEK - TR","46.0947","-117.189","0","","","1 hour","Yes","",""
"BONG RECREATION AREA 8","WI","L","Non-failure","04/12/2013","Hydrologic/flooding","Spillway Pipe Failure","","","WI01149-1580","Water breached the dam's overflow pipe. High water has also washed away the soil surrounding the pipe.","","Yes","","0","","0","Roads","","","0 ac-ft","State highway closed","S","RE","R","N","10 ft","900 ac-ft","158 acres","1972","WI01149","TR. BRIGHTON CREEK","42.625","-88.1139","2015","WIDNR","","","","",""
"BOURBANIS DAM","ND","S","Non-failure","05/21/2013","Hydrologic/flooding","High Reservoir Level","","","ND00083-1942","Watershed received 4-6 inches of rain on May 20, 2013.  The reservoir was already full from heavy late season snow and late season snowmelt runoff.  Water flowed through the dam's earthen auxiliary spillway on May 21-22, 2013 and again on May 31, 2013.","","Yes","","0","","0","None","","","","The dam's auxiliary spillway was damaged. Flow through the spillway resulted in a major headcut at the downstream end of the auxiliary spillway, and a signifcant erosion channel at the entrance to the auxiliary spillway.","L","RE","CF","N","76 ft","1502 ac-ft","9 acres","1957","ND00083","TONGUE RIVER-TR","48.7844","-97.9801","1984","NDSWC","","","","",""
"BOWEN 2","VA","","Failure","08/06/2010","Structural Stability","Cracking","","","VA00000-281","test","","","","","","","","","","","","","","","","0 ft","0 ac-ft","0 acres","0","VA00000","","0","0","0","","","","","",""
"BOWEN IRRIGATION POND DAM","GA","U","Non-failure","08/06/2010","Unknown","Unknown","","","GA05016-280","test  test","","No","","","","","","","","","test","P","RE","R","NR","9 ft","104 ac-ft","14 acres","0","GA05016","CYPRESS CREEK","31.4389","-83.4083","0","","","","","",""
"BOWLING POND DAM","SC","L","Failure","10/08/2016","Hydrologic/flooding","Unknown","","","SC01973-2997","Hurricane Matthew","Matthew","No","0","0","0","0","","","","","","P","RE","R","N","16 ft","70 ac-ft","7 acres","1900","SC01973","BINGHAM BRANCH","34.0367","-79.5383","0","SCDHEC","","1 Day","No","SC DHEC",""
"BOXLEY BURST","WA","","Failure","12/01/1918","Seepage/internal Erosion","Excessive/increased Seepage","","","WA00000-123","","","No","","","","","","","","","precise date unknown. Excessive seepage through glacial  moraine  abutment caused mud flow about 1 mi. from reservoir. Destroyed RR line &  village of  Eastwick.","","MS","","","0 ft","0 ac-ft","0 acres","0","WA00000","","0","0","0","","","","","",""
"BOYDS POND DAM","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00096-3055","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","IPR","N","13 ft","68 ac-ft","75 acres","1963","SC00096","TOMS CREEK","33.9183","-80.7567","0","SCDHEC","","","","SC DHEC",""
"BOYKIN LAKE DAM","TX","S","Non-failure","09/27/1996","Hydrologic/flooding","Overtopping","","","TX03751-2745","OVERTOPPING","","","","","","","","","","","","P","RE","IR","NR","14 ft","195 ac-ft","0 acres","1976","TX03751","MANGUS BRANCH","30.7212","-94.4486","0","TCEQ","","","","TX DEQ",""
"BOYLE POND DAM","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC01431-3041","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","16 ft","55 ac-ft","160 acres","1957","SC01431","","33.88","-80.4383","0","SCDHEC","","","","SC DHEC",""
"BRAINARD LAKE DAM","NJ","S","Non-failure","08/22/2012","Seepage/internal Erosion","Piping","","","NJ00152-1400","The seepage was observed on the downstream side of the dam, adjacent to the culvert, flowing not through the culvert but under and through the downstream masonry wall.  The lake level had dropped one foot.","","Yes","","0","","0","","","","","","L","PGRE","R","Y","12 ft","152 ac-ft","22 acres","1840","NJ00152","CRANBURY BROOK","40.3098","-74.5166","0","NJDEP","","","","",""
"BRAWNER LAKE","MN","L","Failure","02/24/2015","Deterioration Or Poor Condition","Spillway Pipe Failure","","","MN00120-3105","In 2015, a small seperation between the riser and outlet conduit occurred, resulting in a slowly falling lake level. In 2017, the corroded conduit seperated from the riser draining the lake.","","No","0","0","0","0","None","Unknown","DNR owned Dam.  Operators notified DNR Dam Safety quickly.","400 ac-ft","","S","PGRE","O","NR","32 ft","450 ac-ft","30 acres","1952","MN00120","REDWOOD RIVER","44.3358","-95.9214","1997","MNDNR EWR","","2 years to complete failure","No","MNDNR",""
